"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Apr-2022","EQ","4.25","4.40","3.85","4.20","4.20","4.15","4.00","4.60","1.10","10,46,288","41,86,217.40","861"
"11-Apr-2022","EQ","4.55","4.60","4.05","4.45","4.20","4.20","4.23","4.60","1.10","15,56,442","65,76,956.05","1,751"
"08-Apr-2022","EQ","4.50","4.60","4.35","4.40","4.50","4.45","4.50","4.60","1.10","13,94,120","62,67,982.65","1,336"
"07-Apr-2022","EQ","4.30","4.60","4.20","4.25","4.45","4.40","4.46","4.60","1.10","23,45,277","1,04,51,733.65","1,735"
"06-Apr-2022","EQ","4.40","4.40","4.05","4.20","4.30","4.25","4.31","4.40","1.10","19,75,518","85,20,257.40","1,545"
"05-Apr-2022","EQ","4.20","4.20","4.20","4.00","4.20","4.20","4.20","4.20","1.10","1,26,163","5,29,884.60","131"
"04-Apr-2022","EQ","4.00","4.00","4.00","3.85","4.00","4.00","4.00","4.00","1.10","88,525","3,54,100.00","100"
"01-Apr-2022","EQ","3.85","3.85","3.85","3.70","3.85","3.85","3.85","3.85","1.10","98,558","3,79,448.30","136"
"31-Mar-2022","EQ","3.65","3.70","3.60","3.55","3.70","3.70","3.70","3.70","1.10","1,43,277","5,29,416.25","209"
"30-Mar-2022","EQ","3.35","3.55","3.35","3.40","3.55","3.55","3.50","3.55","1.10","2,32,316","8,13,969.70","362"
"29-Mar-2022","EQ","3.40","3.55","3.40","3.55","3.40","3.40","3.42","3.55","1.10","10,24,906","35,07,691.05","845"
"17-Nov-2021","EQ","2.45","2.45","2.25","2.35","2.25","2.25","2.31","2.45","1.10","20,76,384","47,86,491.80","704"
"16-Nov-2021","EQ","2.30","2.40","2.20","2.30","2.40","2.35","2.27","2.40","1.10","26,98,379","61,24,098.80","1,046"
"15-Nov-2021","EQ","2.40","2.40","2.20","2.30","2.25","2.30","2.28","2.40","1.10","36,61,832","83,46,212.75","1,193"
"12-Nov-2021","EQ","2.30","2.30","2.30","2.20","2.30","2.30","2.30","2.30","1.10","1,80,381","4,14,876.30","90"
"11-Nov-2021","EQ","2.20","2.20","2.20","2.10","2.20","2.20","2.20","2.20","1.10","1,07,039","2,35,485.80","77"
"10-Nov-2021","EQ","2.10","2.10","2.10","2.00","2.10","2.10","2.10","2.10","1.10","92,105","1,93,420.50","64"
"09-Nov-2021","EQ","2.00","2.00","2.00","1.95","2.00","2.00","2.00","2.10","1.10","2,51,402","5,02,804.00","75"
"08-Nov-2021","EQ","1.95","1.95","1.95","1.90","1.95","1.95","1.95","2.10","1.10","3,34,583","6,52,436.85","94"
"04-Nov-2021","EQ","1.90","1.90","1.90","1.85","1.90","1.90","1.90","2.10","1.05","72,837","1,38,390.30","55"
"03-Nov-2021","EQ","1.85","1.85","1.80","1.80","1.85","1.85","1.85","2.10","1.05","9,70,843","17,96,053.15","522"
"02-Nov-2021","EQ","1.80","1.85","1.75","1.80","1.80","1.80","1.79","2.10","1.05","5,29,108","9,46,539.30","252"
"01-Nov-2021","EQ","1.85","1.85","1.80","1.80","1.80","1.80","1.82","2.10","1.05","1,30,516","2,37,277.55","193"
"29-Oct-2021","EQ","1.85","1.85","1.80","1.85","1.85","1.80","1.81","2.10","1.05","2,69,188","4,87,056.30","259"
"28-Oct-2021","EQ","1.95","1.95","1.85","1.90","1.85","1.85","1.86","2.10","1.05","5,14,813","9,59,180.60","225"
"27-Oct-2021","EQ","1.95","1.95","1.90","1.90","1.95","1.90","1.92","2.10","1.05","1,10,234","2,11,802.65","265"
"26-Oct-2021","EQ","1.95","1.95","1.90","1.95","1.95","1.90","1.91","2.10","1.05","1,24,687","2,38,580.50","162"
"25-Oct-2021","EQ","1.95","1.95","1.90","1.90","1.95","1.95","1.92","2.10","1.05","1,49,170","2,87,096.10","203"
"22-Oct-2021","EQ","1.95","1.95","1.90","1.90","1.95","1.90","1.93","2.10","1.05","1,97,754","3,82,460.55","196"
"21-Oct-2021","EQ","2.00","2.00","1.90","1.95","1.95","1.90","1.93","2.10","1.05","2,30,217","4,44,359.75","249"
"20-Oct-2021","EQ","2.00","2.00","1.95","2.00","2.00","1.95","1.96","2.10","1.05","1,23,016","2,41,580.00","171"
"19-Oct-2021","EQ","2.00","2.00","1.90","1.95","1.95","2.00","1.96","2.10","1.05","7,43,205","14,58,300.85","285"
"18-Oct-2021","EQ","2.05","2.05","1.95","2.00","2.00","1.95","1.99","2.10","1.05","4,81,469","9,57,554.95","343"
"14-Oct-2021","EQ","2.00","2.05","1.95","2.00","2.00","2.00","2.00","2.10","1.05","3,56,591","7,13,268.70","220"
"13-Oct-2021","EQ","2.00","2.00","1.95","1.95","2.00","2.00","1.99","2.10","1.05","5,37,665","10,69,180.85","635"
"12-Oct-2021","EQ","2.05","2.05","1.95","2.00","2.00","1.95","1.99","2.10","1.05","2,92,796","5,81,884.90","226"
"16-Jun-2021","EQ","2.10","2.10","2.10","2.00","2.10","2.10","2.10","2.10","1.05","34,365","72,166.50","44"
"15-Jun-2021","EQ","2.00","2.00","2.00","1.95","2.00","2.00","2.00","2.00","1.05","71,720","1,43,440.00","52"
"14-Jun-2021","EQ","1.95","1.95","1.95","1.90","1.95","1.95","1.95","1.95","1.05","1,44,130","2,81,053.50","50"
"11-Jun-2021","EQ","1.90","1.90","1.90","1.85","1.90","1.90","1.90","1.90","1.05","46,662","88,657.80","47"
"10-Jun-2021","EQ","1.85","1.85","1.85","1.80","1.85","1.85","1.85","1.85","1.05","86,479","1,59,986.15","33"
"09-Jun-2021","EQ","1.80","1.80","1.80","1.75","1.80","1.80","1.80","1.85","1.05","1,06,358","1,91,444.40","49"
"08-Jun-2021","EQ","1.75","1.75","1.75","1.70","1.75","1.75","1.75","1.85","1.05","91,450","1,60,037.50","44"
"07-Jun-2021","EQ","1.70","1.70","1.70","1.65","1.70","1.70","1.70","1.85","1.05","4,31,485","7,33,524.50","67"
"04-Jun-2021","EQ","1.65","1.65","1.65","1.60","1.65","1.65","1.65","1.85","1.05","2,40,973","3,97,605.45","70"
"03-Jun-2021","EQ","1.60","1.60","1.60","1.55","1.60","1.60","1.60","1.85","1.05","2,88,291","4,61,265.60","110"
"02-Jun-2021","EQ","1.55","1.55","1.50","1.50","1.55","1.55","1.55","1.85","1.05","5,63,947","8,73,853.05","117"
"01-Jun-2021","EQ","1.45","1.50","1.40","1.45","1.50","1.50","1.48","1.85","1.05","14,41,992","21,41,223.25","246"
"31-May-2021","EQ","1.45","1.45","1.40","1.45","1.40","1.45","1.41","1.85","1.05","4,80,297","6,78,914.95","873"
"28-May-2021","EQ","1.50","1.50","1.40","1.45","1.45","1.45","1.45","1.85","1.00","7,07,670","10,23,686.00","524"
"27-May-2021","EQ","1.55","1.55","1.45","1.50","1.45","1.45","1.47","1.85","1.00","4,06,058","5,95,442.85","276"
"26-May-2021","EQ","1.55","1.55","1.50","1.55","1.55","1.50","1.51","1.85","1.00","5,94,613","8,96,375.45","485"
"25-May-2021","EQ","1.60","1.65","1.55","1.60","1.55","1.55","1.58","1.85","1.00","7,18,367","11,37,602.70","490"
"24-May-2021","EQ","1.55","1.60","1.55","1.55","1.60","1.60","1.58","1.85","1.00","5,75,417","9,09,903.85","536"
"21-May-2021","EQ","1.45","1.55","1.40","1.45","1.55","1.55","1.51","1.85","1.00","14,14,829","21,33,301.10","549"
"20-May-2021","EQ","1.45","1.45","1.35","1.40","1.45","1.45","1.41","1.85","1.00","8,58,147","12,10,463.15","307"
"19-May-2021","EQ","1.45","1.45","1.40","1.35","1.45","1.40","1.44","1.85","1.00","20,29,750","29,29,649.45","584"
"18-May-2021","EQ","1.35","1.35","1.35","1.25","1.35","1.35","1.35","1.85","1.00","72,821","98,308.35","44"
"17-May-2021","EQ","1.15","1.25","1.15","1.15","1.25","1.25","1.23","1.85","1.00","9,13,619","11,23,218.20","169"
"14-May-2021","EQ","1.20","1.20","1.10","1.20","1.20","1.15","1.17","1.85","1.00","14,90,478","17,47,137.55","584"
"12-May-2021","EQ","1.20","1.20","1.15","1.15","1.20","1.20","1.17","1.85","1.00","2,29,408","2,67,402.50","261"
"11-May-2021","EQ","1.15","1.20","1.15","1.15","1.20","1.15","1.17","1.85","1.00","2,48,188","2,89,887.45","240"
"10-May-2021","EQ","1.20","1.20","1.15","1.15","1.20","1.15","1.18","1.85","1.00","1,49,513","1,76,876.50","206"
"07-May-2021","EQ","1.20","1.20","1.10","1.20","1.20","1.15","1.15","1.85","1.00","7,07,697","8,17,033.45","221"
"06-May-2021","EQ","1.20","1.20","1.15","1.15","1.20","1.20","1.17","1.85","1.00","1,21,476","1,42,470.00","178"
"05-May-2021","EQ","1.20","1.20","1.15","1.15","1.20","1.15","1.18","1.85","1.00","1,62,261","1,90,907.45","187"
"04-May-2021","EQ","1.20","1.20","1.15","1.20","1.15","1.15","1.17","1.85","1.00","1,12,937","1,32,478.85","84"
"03-May-2021","EQ","1.20","1.20","1.10","1.20","1.20","1.20","1.15","1.85","1.00","3,91,627","4,51,204.10","197"
"30-Apr-2021","EQ","1.20","1.20","1.15","1.20","1.20","1.20","1.17","1.85","1.00","1,73,403","2,02,663.45","195"
"29-Apr-2021","EQ","1.15","1.20","1.15","1.20","1.20","1.20","1.18","1.85","1.00","1,38,803","1,64,076.25","199"
"28-Apr-2021","EQ","1.20","1.20","1.15","1.15","1.20","1.20","1.18","1.85","1.00","1,95,500","2,30,590.30","125"
"27-Apr-2021","EQ","1.20","1.25","1.15","1.20","1.20","1.15","1.18","1.85","1.00","1,80,880","2,13,829.00","166"
"26-Apr-2021","EQ","1.15","1.25","1.15","1.20","1.20","1.20","1.20","1.85","1.00","4,54,736","5,45,484.75","196"
"23-Apr-2021","EQ","1.20","1.20","1.15","1.20","1.20","1.20","1.18","1.85","1.00","99,248","1,16,616.40","138"
"22-Apr-2021","EQ","1.20","1.20","1.15","1.20","1.20","1.20","1.16","1.85","1.00","1,99,880","2,32,545.60","283"
"20-Apr-2021","EQ","1.20","1.25","1.15","1.20","1.20","1.20","1.18","1.85","1.00","1,67,633","1,98,274.10","414"
"19-Apr-2021","EQ","1.20","1.25","1.15","1.25","1.20","1.20","1.18","1.85","1.00","5,84,204","6,89,373.00","287"
"16-Apr-2021","EQ","1.25","1.25","1.20","1.20","1.25","1.25","1.24","1.85","1.00","1,88,056","2,33,145.90","322"
"15-Apr-2021","EQ","1.25","1.25","1.20","1.25","1.25","1.20","1.22","1.85","1.00","52,256","63,649.85","181"
"13-Apr-2021","EQ","1.25","1.25","1.20","1.20","1.25","1.25","1.23","1.85","1.00","1,09,804","1,35,454.45","352"
"12-Apr-2021","EQ","1.30","1.30","1.20","1.30","1.20","1.20","1.27","1.85","1.00","3,09,587","3,91,872.85","205"